Text,ASR Text,Matched Text,VAC_WER,ASR_WER,Duration,Path
Քաղաքապետի պատկանությունների մեջ է մտնում նոր մակետների և ցուցադրությունների բացում։,Քաղաքապետի պարտականությունների մեջ է մտնում նոր մարկետների և ցուցադրությունների բացում։,Քաղաքապետի պատկանությունների մեջ է մտնում նոր մակետների և ցուցադրությունների բացում։,0.0,0.3,7.164,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39548365.wav
"Համակարգը՝ ռոմբային, գույնը՝ վառ կապույտ՝ կանաչավուն երանգով։","Համակարգը ռոմբային է, գույնը՝ վառ կապույտ, կանաչավուն երանգով։","Համակարգը՝ ռոմբային, գույնը՝ վառ կապույտ՝ կանաչավուն երանգով։",0.0,0.571,6.408,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40026916.wav
Ծաղկաբույլը կարճացած ողկույզ է և ծածկված է վերին տերևներով։,Ծաղկաբույր կարճացած ողկույզ է և ծածկված է վերին տերևներով։,Ծաղկաբույլը կարճացած ողկույզ է և ծածկված է վերին տերևներով։,0.0,0.333,5.544,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40051121.wav
- Էգուց գնա տես։,Էկուց գնա տես։,- Էգուց գնա տես։,0.0,0.5,3.024,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39556669.wav
"Հիմնական աշխատանքները վերաբերում են հողերի ծագմանը, աշխարհագրությանը, գեոմորֆոլոգիային։","Հիմնական աշխատանքները վերաբերում են հողերի ծագմանը, աշխարհագրությանը, գեոմորֆոլոգիային։","Հիմնական աշխատանքները վերաբերում են հողերի ծագմանը, աշխարհագրությանը, գեոմորֆոլոգիային։",0.0,0.0,7.92,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40043432.wav
"Մարկովի աշխատանքները վերաբերում են թվերի տեսությանը, հավանականությունների տեսությանը, մաթեմատիկական անալիզին։","Մարկովի աշխատանքները վերաբերում են թվերի տեսությանը, հավանականությունների տեսությանը, մաթեմատիկական անալիզին։","Մարկովի աշխատանքները վերաբերում են թվերի տեսությանը, հավանականությունների տեսությանը, մաթեմատիկական անալիզին։",0.0,0.0,7.56,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40003670.wav
Նա արագորեն ձեռնամուխ է լինում ընկերության տնտեսական քաղաքականության վերափոխմանը։,Նա արագորեն ձեռնմուխ էր լինում ընկերության տնտեսական քաղաքականության վերափոխմանը։,Նա արագորեն ձեռնամուխ է լինում ընկերության տնտեսական քաղաքականության վերափոխմանը։,0.0,0.222,7.632,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31683554.wav
Ծրագրին մասնակցում են հայտնի մարդիկ և երաժշտական կատարողներ։,Ծրագրին մասնակցում են հայտնի մարդիկ և երաժշտական կատարողներ։,Ծրագրին մասնակցում են հայտնի մարդիկ և երաժշտական կատարողներ։,0.0,0.125,6.3,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39592013.wav
"Հետագայում ղեկավարել է պանսիոնը, որն անհաջող էր և արդյունքում առաջացավ պարտքեր։","Հետագայում ղեկավարել է պարսյոնը, որ, անհաջող էր և արդյունքում առաջացավ պարտքեր։","Հետագայում ղեկավարել է պանսիոնը, որն անհաջող էր և արդյունքում առաջացավ պարտքեր։",0.0,0.273,6.156,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39466467.wav
Կեղևը գորշակարմրավուն է։,Կեղևը գորշակարմրավուն է։,Կեղևը գորշակարմրավուն է։,0.0,0.333,4.5,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31719984.wav
Կողային տաղավարները վարձակալության են հանձնվում և օգտագործվում են որպես գրասենյակներ։,Կողային տաղավարները վարձակալության են հանձնվում և օգտագործվում են որպես գրասենյակներ։,Կողային տաղավարները վարձակալության են հանձնվում և օգտագործվում են որպես գրասենյակներ։,0.0,0.1,6.084,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40069477.wav
Փախչելով մախնովականներից՝ ընկերները հայտնվում են կարմիրների դիրքում։,Փախչելով մախնովականների սնջերները հայտնվում են կարմիրների դիրքում։,Փախչելով մախնովականներից՝ ընկերները հայտնվում են կարմիրների դիրքում։,0.0,0.286,6.48,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986355.wav
Կարող է նաև դիտվել սուլող շնչառություն և թմբկափայտի նմանվող մատներ։,Կարող է նաև դիտվել սուլող շնչառություն և թմբկաբայտի նմանվող մատներ։,Կարող է նաև դիտվել սուլող շնչառություն և թմբկափայտի նմանվող մատներ։,0.0,0.3,8.964,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773395.wav
"Առաջարկել է ձեռքերի սանիտարական մշակման, պաստերացման սարքավորումներում կաթնային քարերի վերացման միջոցներ։","Առաջարկել է ձեռքերի սաննտարական մշակման, պաստերացման, սարքավորումներում կաթնային քարերի վերացծման միջոցներ։","Առաջարկել է ձեռքերի սանիտարական մշակման, պաստերացման սարքավորումներում կաթնային քարերի վերացման միջոցներ։",0.0,0.273,7.848,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39625476.wav
Վիրավորներից շատերը ծայրահեղ ծանր վիճակում տեղափոխվել և վիրահատվել են տեղական հիվանդանոցներում։,Վիրավորներից շատերը ծայրահեղ ծանր վիճակում տեղափոխվել և վիրահատվել են տեղական հիվանդանոցներում։,Վիրավորներից շատերը ծայրահեղ ծանր վիճակում տեղափոխվել և վիրահատվել են տեղական հիվանդանոցներում։,0.0,0.091,8.136,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773214.wav
Տարածված են սավաննաները։,Տարածված են սահմանները։,Տարածված են սավաննաները։,0.0,0.333,3.6,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_38259677.wav
Միաժամանակ ֆրանսիական մամուլում տպագրել է արձակ երկեր։,Միաժամանակ ֆրանսիական մամուլում տպագրել է արձակ երկեր։,Միաժամանակ ֆրանսիական մամուլում տպագրել է արձակ երկեր։,0.0,0.0,5.832,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39612358.wav
"Ստեղծագործութիւնները կը պահպանուին արկղերու մէջ, նախկին սեփականատէրերու մասին նշումներով։",Ստեղծագործութիւնները կը պահպանուին արքերու մէջ նախկին սեփականատերերու մասին նշումներով։,"Ստեղծագործութիւնները կը պահպանուին արկղերու մէջ, նախկին սեփականատէրերու մասին նշումներով։",0.0,0.333,10.548,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39788369.wav
Երկիրն ստեղծվում է բադի ձվի կճեպից։,Երկրին ստեղծվում է պատի ձվի կճեպից։,Երկիրն ստեղծվում է բադի ձվի կճեպից։,0.0,0.333,3.852,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39935283.wav
Կենտրոնի առաքելությունն է գտնել տարածաշրջանային խնդիրների խաղաղ լուծումը միջազգային իրավունքի միջոցով։,Կենտրոնի առաքելությունն է գտնել տարածաշրջանային խնդիրների խաղաղ լուծումը միջազգային իրավունքի միջոցով։,Կենտրոնի առաքելությունն է գտնել տարածաշրջանային խնդիրների խաղաղ լուծումը միջազգային իրավունքի միջոցով։,0.0,0.0,9.072,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40007530.wav
"Ունի լավ հոտառություն և լսողություն, թույլ տեսողություն։","Ունի լավ հօտառություն և լսողություն, թույլ տեսողություն։","Ունի լավ հոտառություն և լսողություն, թույլ տեսողություն։",0.0,0.286,5.112,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39544799.wav
"Թորման գործընթացին կարող են ականատես լինել զբոսաշրջիկները, քաղաքի հյուրերը։","Թորման գործընթացին կարող են ականատես լինել զբոսաշրջիկները, քաղաքի հյուրերը։","Թորման գործընթացին կարող են ականատես լինել զբոսաշրջիկները, քաղաքի հյուրերը։",0.0,0.0,5.652,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40003493.wav
Միջուկային էներգետիկան որոշակի կիրառում ունի նաև տիեզերական թռիչքային ապարատներում։,Միջուկային էներգետիկան որոշակի կիրառում ունի նաև տիեզերական թռիչքային ապարատներում։,Միջուկային էներգետիկան որոշակի կիրառում ունի նաև տիեզերական թռիչքային ապարատներում։,0.0,0.111,6.12,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40003504.wav
Համայնքը կարող է ընդգրկել մեկ կամ ավելի թվով բնակավայրեր։,Հաղմայքը կարող էր ընդգրկել մեկ կամ ավելի թվով բնակավայրեր։,Համայնքը կարող է ընդգրկել մեկ կամ ավելի թվով բնակավայրեր։,0.0,0.222,5.184,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39466659.wav
Վարժանքների ժամանակ նա նաև պարապում էր համակարգչային խաղի միջոցով։,Բաժանքների ժամակ նա նաև պարապում էր համակարգչային խաղի միջոցով։,Վարժանքների ժամանակ նա նաև պարապում էր համակարգչային խաղի միջոցով։,0.0,0.333,5.58,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39466661.wav
Լանջերը զառիթափ են ու դժվարամատչելի։,Լանջերը զառիթափ են ուր դժվարամատչելի։,Լանջերը զառիթափ են ու դժվարամատչելի։,0.0,0.2,6.876,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39822560.wav
"Կնգումացեցերի ընտանիքը տեսակներով հարուստ չէ, սակայն տարածված է ամենուրեք։","Գնկումացեցրի ընտանիքը տեսակներով հարուշէ, սակայն տարածված է ամենուրեք։","Կնգումացեցերի ընտանիքը տեսակներով հարուստ չէ, սակայն տարածված է ամենուրեք։",0.0,0.333,6.732,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39822562.wav
Ելփիսն ուներ Ս․ Գևորգ անունով եկեղեցի։,Ելփիսն ուներ Ս. Գևորգ անունով եկեղեցի։,Ելփիսն ուներ Ս․ Գևորգ անունով եկեղեցի։,0.0,0.333,4.68,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39543337.wav
Նա կատարել է բազմաթիվ ջութակի կոնցերտների պրեմիերաներ։,Նա կատարել է բազմաթիվ ջութակի կոնցերտների պրեմիերաներ։,Նա կատարել է բազմաթիվ ջութակի կոնցերտների պրեմիերաներ։,0.0,0.0,4.716,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39543339.wav
"Բայց վերջիվերջո նա աշխատում է կահույքի խանությում, որպես կտորեղեն վաճառող։","Բայց վերջի վերջո, նա աշխատում է կահուքի խանութում, որպես կտարեղեն վաճառող։","Բայց վերջիվերջո նա աշխատում է կահույքի խանությում, որպես կտորեղեն վաճառող։",0.0,0.5,5.004,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39988839.wav
"Նշենք նաև, որ անուշապուրն առավել յուրահատուկ համ կունենա, եթե պատրաստելիս անիսոն կամ դարչին ավելացնեք։","Նուենք նաև որ անուշապուրն առավել յուրահատուկ համ կունենա, եթե պատրաստելիս անիսոն կամ դարչին ավելացնեք։","Նշենք նաև, որ անուշապուրն առավել յուրահատուկ համ կունենա, եթե պատրաստելիս անիսոն կամ դարչին ավելացնեք։",0.0,0.143,6.624,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39988903.wav
Փոքր-ինչ վախեցած ներս մտա նրա սենյակը։,Փոքրինչ վախեցած ներս մտան նրա սենյակը։,Փոքր-ինչ վախեցած ներս մտա նրա սենյակը։,0.0,0.333,8.604,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39950399.wav
"- Վահան, բավական է,- շշնջաց քույրը, նրա թևը քաշելով։","Վահան բավական է, շշնջաց քույրը, նրա թևը քաշելով։","- Վահան, բավական է,- շշնջաց քույրը, նրա թևը քաշելով։",0.0,0.444,6.12,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39950400.wav
Ուսումն ավարտելուց հետո առաջին անգամ խաղացել է լոսանջելեսյան թատրոններից մեկում։,Ուսումն ավարտելուց հետո առաջին անգամ խաղացել է լոսանջելոսյան թատրոններից մեկում։,Ուսումն ավարտելուց հետո առաջին անգամ խաղացել է լոսանջելեսյան թատրոններից մեկում։,0.0,0.1,5.868,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40048327.wav
"Գյուղը էլեկտրաֆիկացվել է, գազաֆիկացվել, կառուցվել են ճանապարհներ, բարձրացել է գյուղացու կենսամակարդակը։","Գյուղը էլեկտրաֆիկացվել է, գազաֆիկացվել, կառուցվել են ճանապարհներ բարձրացել են գյուղացու կենսամակարդակը։","Գյուղը էլեկտրաֆիկացվել է, գազաֆիկացվել, կառուցվել են ճանապարհներ, բարձրացել է գյուղացու կենսամակարդակը։",0.0,0.182,8.064,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40048331.wav
Վլասը անմիջապես աղոթքով բուժում է երեխայի կոկորդը։,Վլասը անմիջապես աղոթքով բուրում է երեխայի կոկորդ։,Վլասը անմիջապես աղոթքով բուժում է երեխայի կոկորդը։,0.0,0.286,4.824,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39544848.wav
"Գիտեք, որ կոնյակի սպիրտի ներկրման հետ կապված ունեցել ենք որոշակի խնդիր։","Գիտեք, որ կոնյակի սպիրտի ներկայման հետ կապված, ունեցել ենք որոշակի խնդիր։","Գիտեք, որ կոնյակի սպիրտի ներկրման հետ կապված ունեցել ենք որոշակի խնդիր։",0.0,0.182,5.688,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39544849.wav
Ինչպես հաղորդվում է՝ ֆիլմը կատակերգություն է լինելու։,"Ինչպես հավաք է,  մկատագիտությունը, ։",Ինչպես հաղորդվում է՝ ֆիլմը կատակերգությու,0.429,0.857,5.58,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_38259546.wav
Ռուսաստանում այն ստացավ պլատինե սկավառակ հավաստագիր։,"Սոեբում նաի ստացավ լա, եստտավե ան համ, ավաստան։",հաղորդվում է՝ ֆիլմը կատակերգություն է լինելու։ Ռուսաստանում այն ստացավ պլատինե,1.333,1.167,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_38259547.wav
"Միջոցառման կազմակերպիչը հայատարարեց, որ այդպիսի դեպք չի կրկնվի։","Միջոցառման կազմակերպիչ է հայտարարեց, որ այդպիսի դեպք չի կրկնվի։","Միջոցառման կազմակերպիչը հայատարարեց, որ այդպիսի",0.375,0.375,6.3,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31719960.wav
Նրա ստեղծագործությունները բազմիցս էկրանավորվել են։,Նրա ստեղծագործությունները բազմիցս էկրանավորվել են։,ք չի կրկնվի։ Նրա ստեղծագործությունները բազմիցս էկրանավոր,1.0,0.0,5.04,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31719970.wav
"Նրա ծնողներն ամուսնալուծվել են, երբ նա դեռ երեխա էր։","Նրա ծնողներն ամուսնալուծվել են, երբ նա դեռ երեխայ էր։","վել են։ Նրա ծնողներն ամուսնալուծվել են, երբ նա դեռ երեխա էր",0.333,0.111,5.292,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40004021.wav
"Վերջիններս բեղմնավորումից հետո վեր են ածվում սերմի, իսկ սերմնարանը՝ պտղի։","Վերջիններս բեղմնավորումից հետո վեր են ածվում սերմի, իսկ սերմնարանը՝ պտղի։","։ Վերջիններս բեղմնավորումից հետո վեր են ածվում սերմի, իսկ սերմնարանը՝ պտղի։",0.1,0.0,7.02,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40004022.wav
"Հայերը բնակվել են միմյանց հարևանությամբ, ազգային արժեքներին հաղորդակցվել ընտանեկան պայմաններում։",Հայերը բնակվել են միմյանց հարևանությամբ՝ ազգային արժեքներին հաղորդակցվել ընտանեկան պայմաններում։,"Հայերը բնակվել են միմյանց հարևանությամբ, ազգային արժեքներին հաղորդակցվել ընտանեկան պայմաններում։",0.0,0.1,7.596,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773772.wav
"Գալիս է ձմեռը, և ամենուր առատ ձյուն է տեղում։",Գալիս է ձմեռը և ամենուր առատ ձյուն է տեղում։,"Գալիս է ձմեռը, և ամենուր առատ ձյուն է տեղում։",0.0,0.222,4.536,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773773.wav
Դասարանի ակտիվությունն աճում էր։,Դասարանի ակտիվությունն աճում էր։,Դասարանի ակտիվությունն աճում էր։,0.0,0.0,4.212,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773744.wav
"Պատմութեան մէջ, յստակ չէ թէ ինչ է ծերունիին եւ պատմիչին յարաբերութիւնը։","Պատմութեան մեջ հստակ չէ, թե ինչ է ծերունիին և պատմիչին հարաբերությունը.","Պատմութեան մէջ, յստակ չէ թէ ինչ է ծերունիին եւ պատմիչին յարաբերութիւնը։",0.0,0.455,6.516,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39773745.wav
Շատ կան լճեր։,Շատ կան լճեր։,Շատ կան լճեր։,0.0,0.0,3.024,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39620291.wav
Արթուրի խոսքերով․ նա լի է զվարճանքով ու հմայքով։,Արթուրի խոսքերով նա լի է զվարճանքով ու համայքով։,Արթուրի խոսքերով․ նա լի է զվարճանքով ու հմայքով։,0.0,0.25,5.22,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39620292.wav
Գործածության մեջ է դրել հոգեդիագնոստիկա տերմինը։,Գործածության մեջ է դրել հոքեդիագնոստիկատերմինը։,Գործածության մեջ է դրել հոգեդիագնոստիկա տերմինը։,0.0,0.333,6.3,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39602702.wav
Ապա սաղմի սնուցումն իրականացվում է մայրական արյունից հեմատոտրոֆ տիպ։,Ապա սաղմի սնուցումն իրականացվում է մայրական արյունից հեմատոտրոֆտիպ։,Ապա սաղմի սնուցումն իրականացվում է մայրական արյունից հեմատոտրոֆ տիպ։,0.0,0.222,7.92,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39602704.wav
Այստեղ նա աշխատել է մինչև մահը։,Այստեղ նա աշխատել է մինչև մահը։,Այստեղ նա աշխատել է մինչև մահը։,0.0,0.167,3.96,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39514729.wav
Ունի աւագ եղբայր։,Ունի ավագ եղբայր։,Ունի աւագ եղբայր։,0.0,0.333,3.744,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39514730.wav
"Ընդհանուր փետրածածկը վերևից գորշ դարչնագույն է, ներքևից՝ սպիտակավուն։","Ընդհանուր փայտրածածկը վերևից գորշ դարչնագույն է, ներքևից՝ սպիտակավուն։","Ընդհանուր փետրածածկը վերևից գորշ դարչնագույն է, ներքևից՝ սպիտակավուն։",0.0,0.375,5.58,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40008931.wav
Ջրհորի տեղը որոշելու ժողովրդական ձևը բիոլոկացիան է։,Ջրհորի տեղը որոշելու ժողովրդական ձևը բիոլոկացիան է։,Ջրհորի տեղը որոշելու ժողովրդական ձևը բիոլոկացիան է։,0.0,0.143,5.004,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40008946.wav
Նա ինքնասպան էր եղել իր ավտոտնակում՝ որսորդական հրացանից։,Նա ինքնասպան էր եղել իր ավտոտնակում որսորդական հրացանից։,Նա ինքնասպան էր եղել իր ավտոտնակում՝ որսորդական հրացանից։,0.0,0.125,4.68,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39562033.wav
Բոլոր երեք կլանները ունեին ակտիվ ահաբեկչական գործողությունների ծրագրեր։,Բոլոր երեքպլաները ունեին ակտիվ ահաբեկչական գործողությունների ծրագրեր։,Բոլոր երեք կլանները ունեին ակտիվ ահաբեկչական գործողությունների ծրագրեր։,0.0,0.25,4.824,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39562035.wav
Դրան տիրանալու համար կենդանիները սկսում են իրար հետ կռվել։,Դրան տիրանալու համար կենդանիները սկսում են իրար հետ կռվել։,Դրան տիրանալու համար կենդանիները սկսում են իրար հետ կռվել։,0.0,0.0,5.148,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986440.wav
"Ջամալի խարազանել է ագահությունը, սուտն ու կեղծիքը, քծնանքն ու նենգությունը։","Ճամալի խարազանել է ագահությունը, սուրբնու կեղծիքը, գցնանքն ունենգությունը։","Ջամալի խարազանել է ագահությունը, սուտն ու կեղծիքը, քծնանքն ու նենգությունը։",0.0,0.6,6.588,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986441.wav
Քարանձավների մի մասը կրկնահարկ ու եռահարկ են։,Քարանձավների մի մասը կրկնահար ու ժեռահարկ են։,Քարանձավների մի մասը կրկնահարկ ու եռահարկ են։,0.0,0.286,5.76,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_36464721.wav
